2026-07-13 01:37:47,963 | root | INFO | Logging initialized. Output target file: C:\Users\ASUS\Desktop\assignment 7\assignment\Week7_Nishchal_Jain\logs\pipeline_run.log
2026-07-13 01:37:47,968 | rag_pipeline | INFO | ============================================================
2026-07-13 01:37:47,968 | rag_pipeline | INFO | PHASE 1: Loading raw documents
2026-07-13 01:37:47,969 | rag_pipeline | INFO | ============================================================
2026-07-13 01:37:47,969 | document_loader | INFO | Attempting to read single file: C:\Users\ASUS\Desktop\Manthan_Maheshwari_resume.pdf
2026-07-13 01:37:48,288 | document_loader | DEBUG | Successfully read 3661 characters from page 1
2026-07-13 01:37:48,289 | document_loader | INFO | Extracted 3661 characters from PDF file: Manthan_Maheshwari_resume.pdf
2026-07-13 01:37:48,289 | document_loader | INFO | Total documents loaded into pipeline: 1
2026-07-13 01:37:48,289 | rag_pipeline | INFO | ============================================================
2026-07-13 01:37:48,290 | rag_pipeline | INFO | PHASE 2: Splitting documents into overlapping segments
2026-07-13 01:37:48,290 | rag_pipeline | INFO | ============================================================
2026-07-13 01:37:48,290 | text_chunker | INFO | Segmented 'Manthan_Maheshwari_resume.pdf' into 8 blocks (max_size=500, overlap=80)
2026-07-13 01:37:48,291 | text_chunker | INFO | Segmentation finalized: 8 chunks from 1 source files
2026-07-13 01:37:48,291 | rag_pipeline | INFO | ============================================================
2026-07-13 01:37:48,292 | rag_pipeline | INFO | PHASE 3: Computing vector representation embeddings
2026-07-13 01:37:48,292 | rag_pipeline | INFO | ============================================================
2026-07-13 01:38:04,035 | tensorflow | DEBUG | Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
2026-07-13 01:38:04,647 | h5py._conv | DEBUG | Creating converter from 7 to 5
2026-07-13 01:38:04,647 | h5py._conv | DEBUG | Creating converter from 5 to 7
2026-07-13 01:38:04,648 | h5py._conv | DEBUG | Creating converter from 7 to 5
2026-07-13 01:38:04,648 | h5py._conv | DEBUG | Creating converter from 5 to 7
2026-07-13 01:38:06,911 | matplotlib | DEBUG | matplotlib data path: C:\Users\ASUS\AppData\Roaming\Python\Python313\site-packages\matplotlib\mpl-data
2026-07-13 01:38:06,920 | matplotlib | DEBUG | CONFIGDIR=C:\Users\ASUS\.matplotlib
2026-07-13 01:38:06,922 | matplotlib | DEBUG | interactive is False
2026-07-13 01:38:06,922 | matplotlib | DEBUG | platform is win32
2026-07-13 01:38:07,038 | matplotlib | DEBUG | CACHEDIR=C:\Users\ASUS\.matplotlib
2026-07-13 01:38:07,042 | matplotlib.font_manager | DEBUG | Using fontManager instance from C:\Users\ASUS\.matplotlib\fontlist-v390.json
2026-07-13 01:38:18,333 | tensorflow | WARNING | From C:\Users\ASUS\AppData\Roaming\Python\Python313\site-packages\tf_keras\src\losses.py:2976: The name tf.losses.sparse_softmax_cross_entropy is deprecated. Please use tf.compat.v1.losses.sparse_softmax_cross_entropy instead.

2026-07-13 01:38:19,217 | datasets | INFO | PyTorch version 2.13.0 available.
2026-07-13 01:38:19,223 | datasets | INFO | TensorFlow version 2.21.0 available.
2026-07-13 01:38:19,951 | embedding_engine | INFO | Initializing embedding model: all-MiniLM-L6-v2
2026-07-13 01:38:19,957 | sentence_transformers.SentenceTransformer | INFO | Use pytorch device_name: cpu
2026-07-13 01:38:19,958 | sentence_transformers.SentenceTransformer | INFO | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2026-07-13 01:38:19,962 | urllib3.connectionpool | DEBUG | Starting new HTTPS connection (1): huggingface.co:443
2026-07-13 01:38:20,323 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2026-07-13 01:38:20,339 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/modules.json HTTP/1.1" 200 0
2026-07-13 01:38:20,574 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2026-07-13 01:38:20,590 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config_sentence_transformers.json HTTP/1.1" 200 0
2026-07-13 01:38:20,824 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/README.md HTTP/1.1" 307 0
2026-07-13 01:38:20,841 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/README.md HTTP/1.1" 200 0
2026-07-13 01:38:21,166 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/modules.json HTTP/1.1" 307 0
2026-07-13 01:38:21,186 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/modules.json HTTP/1.1" 200 0
2026-07-13 01:38:21,436 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/sentence_bert_config.json HTTP/1.1" 307 0
2026-07-13 01:38:21,457 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/sentence_bert_config.json HTTP/1.1" 200 0
2026-07-13 01:38:21,693 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/adapter_config.json HTTP/1.1" 404 0
2026-07-13 01:38:22,004 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/config.json HTTP/1.1" 307 0
2026-07-13 01:38:22,024 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/config.json HTTP/1.1" 200 0
2026-07-13 01:38:22,401 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /sentence-transformers/all-MiniLM-L6-v2/resolve/main/tokenizer_config.json HTTP/1.1" 307 0
2026-07-13 01:38:22,421 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "HEAD /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/1110a243fdf4706b3f48f1d95db1a4f5529b4d41/tokenizer_config.json HTTP/1.1" 200 0
2026-07-13 01:38:22,675 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main/additional_chat_templates?recursive=False&expand=False HTTP/1.1" 404 64
2026-07-13 01:38:22,909 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/tree/main?recursive=True&expand=False HTTP/1.1" 200 None
2026-07-13 01:38:23,303 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2/revision/main HTTP/1.1" 200 None
2026-07-13 01:38:23,546 | urllib3.connectionpool | DEBUG | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2 HTTP/1.1" 200 None
2026-07-13 01:38:23,608 | embedding_engine | INFO | Model loaded and verified. Vector dimensionality: 384
2026-07-13 01:38:23,608 | embedding_engine | INFO | Encoding 8 text blocks using batch size: 64
2026-07-13 01:38:24,275 | embedding_engine | INFO | Created embedding matrix of shape: (8, 384)
2026-07-13 01:38:24,276 | rag_pipeline | INFO | ============================================================
2026-07-13 01:38:24,276 | rag_pipeline | INFO | PHASE 4: Organizing vector indexing database
2026-07-13 01:38:24,276 | rag_pipeline | INFO | ============================================================
2026-07-13 01:38:24,277 | vector_store | INFO | Generating FAISS flat index: storing 8 items with 384 dimensions
2026-07-13 01:38:24,277 | vector_store | INFO | FAISS index construction complete. Stored vectors count: 8
2026-07-13 01:38:24,279 | vector_store | INFO | FAISS index successfully saved to disk: C:\Users\ASUS\Desktop\assignment 7\assignment\Week7_Nishchal_Jain\faiss_store\doc_index.faiss
2026-07-13 01:38:24,279 | rag_pipeline | INFO | ============================================================
2026-07-13 01:38:24,280 | rag_pipeline | INFO | PHASE 5: Compiling lexical BM25 database
2026-07-13 01:38:24,280 | rag_pipeline | INFO | ============================================================
2026-07-13 01:38:24,282 | hybrid_retriever | INFO | Lexical index compiled. Document count: 8, Unique vocabulary: 343
2026-07-13 01:38:24,282 | rag_pipeline | INFO | Ingestion pipeline execution finished in 36.31 seconds
2026-07-13 01:38:24,354 | vector_store | DEBUG | Retrieved 8 chunks (highest similarity: 0.3012)
2026-07-13 01:38:24,356 | hybrid_retriever | DEBUG | Hybrid retrieval finished: blended 8 semantic and 6 lexical candidates to return 5 top matches
2026-07-13 01:38:24,357 | answer_generator | INFO | Sending request to Gemini model (3514 chars, 5 segments)
2026-07-13 01:38:26,502 | google_genai.models | INFO | AFC is enabled with max remote calls: 10.
2026-07-13 01:38:26,504 | httpcore.connection | DEBUG | connect_tcp.started host='generativelanguage.googleapis.com' port=443 local_address=None timeout=None socket_options=None
2026-07-13 01:38:26,535 | httpcore.connection | DEBUG | connect_tcp.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001D7694CD7F0>
2026-07-13 01:38:26,535 | httpcore.connection | DEBUG | start_tls.started ssl_context=<ssl.SSLContext object at 0x000001D7671384B0> server_hostname='generativelanguage.googleapis.com' timeout=None
2026-07-13 01:38:26,567 | httpcore.connection | DEBUG | start_tls.complete return_value=<httpcore._backends.sync.SyncStream object at 0x000001D7693E6850>
2026-07-13 01:38:26,567 | httpcore.http11 | DEBUG | send_request_headers.started request=<Request [b'POST']>
2026-07-13 01:38:26,567 | httpcore.http11 | DEBUG | send_request_headers.complete
2026-07-13 01:38:26,567 | httpcore.http11 | DEBUG | send_request_body.started request=<Request [b'POST']>
2026-07-13 01:38:26,568 | httpcore.http11 | DEBUG | send_request_body.complete
2026-07-13 01:38:26,568 | httpcore.http11 | DEBUG | receive_response_headers.started request=<Request [b'POST']>
2026-07-13 01:38:45,301 | httpcore.http11 | DEBUG | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'X-Gemini-Service-Tier', b'standard'), (b'Content-Type', b'application/json; charset=UTF-8'), (b'Vary', b'Origin'), (b'Vary', b'X-Origin'), (b'Vary', b'Referer'), (b'Content-Encoding', b'gzip'), (b'Date', b'Sun, 12 Jul 2026 20:08:45 GMT'), (b'Server', b'scaffolding on HTTPServer2'), (b'X-XSS-Protection', b'0'), (b'X-Frame-Options', b'SAMEORIGIN'), (b'X-Content-Type-Options', b'nosniff'), (b'Server-Timing', b'gfet4t7; dur=18706'), (b'Alt-Svc', b'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000'), (b'Transfer-Encoding', b'chunked')])
2026-07-13 01:38:45,302 | httpx | INFO | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-flash-latest:generateContent "HTTP/1.1 200 OK"
2026-07-13 01:38:45,303 | httpcore.http11 | DEBUG | receive_response_body.started request=<Request [b'POST']>
2026-07-13 01:38:45,304 | httpcore.http11 | DEBUG | receive_response_body.complete
2026-07-13 01:38:45,304 | httpcore.http11 | DEBUG | response_closed.started
